TIME TABLE FOR Fall 2020 SEMESTER [Computer Science Department] <V1.1>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),,,,,Programming Fundamentals Lab (BCS-1C),,,,,,,,,,,,,,,,,,Intro. to Info & Comm. Technologies (BCS-1F),,,,,,,,,,,,,,,,,,Intro. to Info & Comm. Technologies (BCS-1E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),,,,,Programming Fundamentals Lab (BCS-1D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),,,,,Intro. to Info & Comm. Technologies (BCS-1H),,,,,,,,,,,,,,,,,,"Comp. Organization & Assembly Lang. Lab (BCS-3F1, BCS-3F2)",,,,,,,,,,,,,,,,,,"Comp. Organization & Assembly Lang. Lab (BCS-3J1, BCS-3J2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),,,,,Programming Fundamentals Lab (BDS-1A),,,,,,,,,,,,,,,,,,Intro. to Info & Comm. Technologies (BSE-1B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-10),,,,,"Computer Networks Lab  (BCS-5A1, BCS-5A2)",,,,,,,,,,,,,,,,,,"Computer Networks Lab  (BCS-5F1, BCS-5F2)",,,,,,,,,,,,,,,,,,"Computer Networks Lab  (BCS-5E1, BCS-5E2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday                   Tuesday,Seminar Hall,,,,,,,,,,,,,,Evolutionary Computation (MCS-3A),,,,,,,,,,,,,,,,,,,,,,,,,,,Entrepreneurship (BCS-3D),,,,,,,,,Entrepreneurship (BCS-3A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,,,,,Design & Analysis of Algo (BCS-7F),,,,,,,,,Artificial Intelligence (BCS-7E),,,,,,,,,Design & Analysis of Algo (BCS-7E),,,,,,,,,Artificial Intelligence (BCS-7F),,,,,,,,,Applied Programming  (MCS-3A),,,,,,,,,Applied Programming  (MCS-3B),,,,,,,,,Software Process Management and Metrics (MSP-3A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
